id,name
1,Audi
2,BMW
3,Mercedes
4,MINI
5,Porsche
6,Volkswagen
7,Honda
8,Acura
9,Nissan
10,Infiniti
11,Datsun
12,Toyota
13,Lexus
14,Scion
15,Subaru
16,Mitsubishi
17,Mazda
18,Suzuki
19,Isuzu
20,Volvo
21,Saab
22,Chevrolet
23,Ford
24,Chrysler
25,Dodge
26,Pontiac
27,Mercury
28,Merkur
29,Lincoln
30,Buick
31,Cadillac
32,GMC
33,Hummer
34,Oldsmobile
35,Saturn
36,Eagle
37,Tesla
38,Jeep
39,Willys
40,Plymouth
41,AMC
42,DMC
43,RAM
44,Opel
45,Kia
46,Hyundai
47,Genesis
48,Fiat
49,Abarth
50,Maserati
51,Alfa Romeo
52,Ferrari
53,Lamborghini
54,Jaguar
55,Land Rover
56,Aston Martin
57,Bentley
58,Rolls Royce
59,Smart
